contract_id,tenant_id,apartment_id,start_date,end_date,monthly_rent,deposit_amount,contract_status
C0103,T342,A0056,2027-01-23,,765.0,2295.0,planned
C0104,T286,A0063,2016-07-17,,365.0,1095.0,active
C0105,T222,A0212,2024-04-21,,480.0,1440.0,active
C0106,T257,A0281,2025-10-30,,1255.0,3765.0,active
C0107,T281,A0108,2020-04-15,2026-04-09,1495.0,4485.0,active
C0108,T198,A0271,2025-06-09,2026-12-31,1030.0,3090.0,terminated
C0109,T233,A0051,2016-07-21,,1185.0,3555.0,active
C0110,T027,A0053,2022-11-29,,715.0,2145.0,active
C0111,T269,A0093,2024-08-08,,780.0,2340.0,active
C0112,T245,A0086,2015-08-24,2026-06-06,1065.0,3195.0,active
C0113,T319,A0113,2019-11-04,,520.0,1560.0,active
C0114,T310,A0011,2021-02-27,2026-03-26,515.0,1545.0,active
C0115,T109,A0090,2024-05-12,,360.0,1080.0,active
C0116,T179,A0181,2025-02-28,,550.0,1650.0,active
C0117,T137,A0031,2022-06-05,2026-08-13,1300.0,3900.0,active
C0118,T106,A0141,2017-10-08,2026-04-05,1335.0,4005.0,active
C0119,T247,A0188,2018-11-21,2023-09-28,1275.0,3825.0,terminated
C0120,T036,A0178,2020-02-29,2026-11-25,1435.0,4305.0,active
C0121,T280,A0053,2018-09-03,,635.0,1905.0,active
C0122,T061,A0174,2015-08-22,2016-09-09,815.0,2445.0,terminated
C0123,T198,A0294,2021-10-14,2023-06-27,1810.0,5430.0,terminated
C0124,T168,A0226,2015-10-27,2026-07-31,880.0,2640.0,active
C0125,T149,A0108,2017-02-22,,1470.0,4410.0,active
C0126,T212,A0107,2021-06-17,2026-11-19,780.0,2340.0,active
C0127,T205,A0062,2020-09-10,2026-12-27,915.0,2745.0,active
C0128,T298,A0262,2021-09-03,2022-10-15,525.0,1575.0,terminated
C0129,T002,A0234,2021-10-26,2022-12-06,1585.0,4755.0,terminated
C0130,T282,A0173,2019-05-15,2026-07-19,400.0,1200.0,active
C0131,T020,A0029,2025-12-12,,540.0,1620.0,active
C0132,T021,A0096,2017-08-02,2019-04-17,545.0,1635.0,terminated
C0133,T084,A0213,2027-02-08,,2020.0,6060.0,planned
C0134,T086,A0062,2024-06-08,2026-08-20,670.0,2010.0,terminated
C0135,T071,A0086,2016-12-26,2017-11-14,1010.0,3030.0,terminated
C0136,T013,A0012,2023-12-03,2026-12-17,350.0,1050.0,active
C0137,T163,A0005,2022-05-24,2024-05-09,1665.0,4995.0,terminated
C0138,T233,A0232,2019-05-03,2026-03-10,1935.0,5805.0,active
C0139,T134,A0224,2018-10-22,2026-09-08,1035.0,3105.0,active
C0140,T258,A0050,2020-04-06,,390.0,1170.0,active
C0141,T187,A0198,2015-05-04,2020-02-11,840.0,2520.0,terminated
C0142,T296,A0254,2027-04-09,,1480.0,4440.0,planned
C0143,T002,A0208,2020-04-28,2024-02-13,415.0,1245.0,terminated
C0144,T360,A0006,2016-04-05,2020-08-06,645.0,1935.0,terminated
C0145,T185,A0186,2015-07-08,2020-01-05,615.0,1845.0,terminated
C0146,T133,A0142,2016-01-30,2026-02-15,995.0,2985.0,active
C0147,T027,A0139,2027-07-18,,1270.0,3810.0,planned
C0148,T256,A0028,2018-08-23,2026-09-09,455.0,1365.0,active
C0149,T283,A0174,2023-07-19,,1290.0,3870.0,active
C0150,T100,A0042,2024-12-04,2028-07-16,1130.0,3390.0,active
C0151,T081,A0123,2023-03-24,,1420.0,4260.0,active
C0152,T285,A0064,2020-03-05,,1370.0,4110.0,active
C0153,T343,A0203,2017-01-29,2018-08-25,895.0,2685.0,terminated
C0154,T293,A0298,2018-12-31,,605.0,1815.0,active
C0155,T257,A0082,2027-11-23,,1205.0,3615.0,planned
C0156,T261,A0100,2021-06-27,2026-04-21,645.0,1935.0,terminated
C0157,T023,A0216,2016-10-24,2027-01-06,1195.0,3585.0,active
C0158,T279,A0298,2020-06-19,2026-12-24,360.0,1080.0,active
C0159,T215,A0020,2025-09-15,2026-12-31,1270.0,3810.0,terminated
C0160,T257,A0201,2021-08-07,,1010.0,3030.0,active
C0161,T059,A0093,2019-10-22,,505.0,1515.0,active
C0162,T049,A0119,2025-03-08,2029-05-16,880.0,2640.0,active
C0163,T216,A0140,2021-12-02,2026-02-08,1240.0,3720.0,active
C0164,T146,A0175,2027-11-19,,985.0,2955.0,planned
C0165,T148,A0203,2027-03-24,,830.0,2490.0,planned
C0166,T015,A0261,2022-05-25,2026-03-18,1340.0,4020.0,active
C0167,T207,A0213,2019-07-05,,1310.0,3930.0,active
C0168,T120,A0060,2021-04-24,2025-03-03,1345.0,4035.0,terminated
C0169,T324,A0098,2020-03-09,,1060.0,3180.0,active
C0170,T283,A0268,2016-06-09,2020-09-30,1390.0,4170.0,terminated
C0171,T289,A0193,2021-08-05,2026-06-28,1370.0,4110.0,active
C0172,T016,A0166,2020-08-27,,1235.0,3705.0,active
C0173,T231,A0247,2023-06-25,2026-12-31,865.0,2595.0,terminated
C0174,T083,A0207,2022-10-10,2026-04-11,485.0,1455.0,terminated
C0175,T152,A0056,2024-06-29,2026-10-23,810.0,2430.0,active
C0176,T014,A0079,2024-09-17,2026-06-09,800.0,2400.0,active
C0177,T177,A0069,2018-05-17,,1380.0,4140.0,active
C0178,T039,A0176,2018-12-16,2020-07-25,1335.0,4005.0,terminated
C0179,T328,A0135,2023-01-20,2026-12-31,855.0,2565.0,terminated
C0180,T216,A0101,2025-10-06,2029-08-16,450.0,1350.0,active
C0181,T072,A0090,2019-04-16,2024-02-24,420.0,1260.0,terminated
C0182,T048,A0029,2025-03-17,2027-09-03,755.0,2265.0,active
C0183,T203,A0250,2027-04-05,,660.0,1980.0,planned
C0184,T033,A0165,2017-11-01,,470.0,1410.0,active
C0185,T039,A0138,2023-01-13,2026-02-26,575.0,1725.0,terminated
C0186,T346,A0057,2021-12-31,2025-07-15,1210.0,3630.0,terminated
C0187,T263,A0247,2016-06-02,2026-06-23,700.0,2100.0,active
C0188,T233,A0299,2027-09-22,,1440.0,4320.0,planned
C0189,T232,A0239,2027-12-28,,1295.0,3885.0,planned
C0190,T003,A0204,2022-04-07,2023-06-26,1225.0,3675.0,terminated
C0191,T158,A0083,2022-03-02,2025-09-22,420.0,1260.0,terminated
C0192,T126,A0019,2017-11-18,2026-03-06,925.0,2775.0,active
C0193,T306,A0132,2015-06-02,2026-03-04,565.0,1695.0,active
C0194,T179,A0298,2020-09-13,2026-10-13,385.0,1155.0,active
C0195,T084,A0090,2018-07-16,,475.0,1425.0,active
C0196,T026,A0201,2023-04-19,,1280.0,3840.0,active
C0197,T215,A0196,2015-10-19,,935.0,2805.0,active
C0198,T213,A0060,2024-11-20,2028-07-02,1180.0,3540.0,active
C0199,T041,A0016,2015-12-27,,1925.0,5775.0,active
C0200,T008,A0238,2024-02-21,,1715.0,5145.0,active
C0201,T157,A0224,2015-12-24,2026-04-06,840.0,2520.0,active
C0202,T092,A0271,2021-08-22,2026-07-25,845.0,2535.0,active
C0203,T335,A0212,2021-11-01,,515.0,1545.0,active
C0204,T088,A0125,2021-06-22,2023-07-03,1630.0,4890.0,terminated
C0205,T230,A0214,2025-07-23,,775.0,2325.0,active
C0206,T220,A0110,2021-03-18,2023-03-24,390.0,1170.0,terminated
C0207,T272,A0015,2015-08-17,2026-10-03,965.0,2895.0,active
C0208,T212,A0106,2016-08-30,2026-04-16,305.0,915.0,active
C0209,T278,A0090,2020-08-09,2021-11-18,365.0,1095.0,terminated
C0210,T087,A0192,2022-02-28,,810.0,2430.0,active
C0211,T047,A0268,2018-02-27,,1120.0,3360.0,active
C0212,T274,A0277,2018-11-09,2026-07-14,895.0,2685.0,active
C0213,T148,A0213,2019-02-14,,1150.0,3450.0,active
C0214,T009,A0106,2023-05-03,2024-05-27,495.0,1485.0,terminated
C0215,T123,A0054,2018-10-11,,630.0,1890.0,active
C0216,T258,A0125,2023-07-09,2026-05-24,1270.0,3810.0,active
C0217,T176,A0105,2020-06-09,,1080.0,3240.0,active
C0218,T210,A0221,2022-07-13,2023-11-12,605.0,1815.0,terminated
C0219,T203,A0017,2021-05-08,2023-01-05,300.0,900.0,terminated
C0220,T133,A0263,2017-12-18,2026-03-23,945.0,2835.0,active
C0221,T163,A0300,2023-08-09,2026-12-22,1515.0,4545.0,terminated
C0222,T237,A0102,2019-09-01,2026-09-12,630.0,1890.0,active
C0223,T217,A0182,2016-11-24,2026-03-14,435.0,1305.0,active
C0224,T214,A0192,2022-04-26,2025-05-06,760.0,2280.0,terminated
C0225,T352,A0123,2024-05-22,,1320.0,3960.0,active
C0226,T226,A0131,2027-01-10,,1275.0,3825.0,planned
C0227,T156,A0132,2025-08-03,2026-12-31,340.0,1020.0,terminated
C0228,T320,A0186,2016-04-25,2019-04-30,760.0,2280.0,terminated
C0229,T165,A0234,2016-08-23,,1500.0,4500.0,active
C0230,T118,A0011,2020-11-25,2021-12-13,730.0,2190.0,terminated
C0231,T141,A0244,2027-04-19,,350.0,1050.0,planned
C0232,T264,A0026,2022-04-23,,515.0,1545.0,active
C0233,T027,A0065,2022-12-24,,1950.0,5850.0,active
C0234,T211,A0178,2022-07-20,2026-05-23,1740.0,5220.0,active
C0235,T358,A0294,2022-12-12,,1630.0,4890.0,active
C0236,T175,A0086,2017-10-16,,840.0,2520.0,active
C0237,T271,A0235,2025-04-15,2026-12-31,370.0,1110.0,terminated
C0238,T229,A0113,2018-03-25,,595.0,1785.0,active
C0239,T158,A0184,2022-08-30,2026-08-13,435.0,1305.0,active
C0240,T205,A0067,2018-12-12,,935.0,2805.0,active
C0241,T335,A0236,2025-01-26,2028-12-06,1175.0,3525.0,active
C0242,T094,A0279,2017-12-01,2026-06-09,600.0,1800.0,active
C0243,T168,A0128,2025-02-27,2026-08-21,1500.0,4500.0,active
C0244,T135,A0128,2022-06-15,2026-03-26,1790.0,5370.0,active
C0245,T024,A0278,2021-07-24,2023-05-26,1405.0,4215.0,terminated
C0246,T025,A0081,2024-02-27,2026-04-20,1380.0,4140.0,active
C0247,T293,A0155,2020-06-26,2024-03-05,775.0,2325.0,terminated
C0248,T066,A0137,2025-10-04,2026-12-31,530.0,1590.0,terminated
C0249,T025,A0021,2021-08-14,2024-09-15,1205.0,3615.0,terminated
C0250,T062,A0062,2022-12-06,2024-06-20,825.0,2475.0,terminated
C0251,T317,A0153,2017-05-02,2026-04-04,1330.0,3990.0,active
C0252,T246,A0070,2027-03-09,,450.0,1350.0,planned
C0253,T357,A0191,2024-07-14,2026-12-31,870.0,2610.0,terminated
C0254,T277,A0104,2024-05-25,2026-01-15,870.0,2610.0,active
C0255,T114,A0230,2024-11-25,,395.0,1185.0,active
C0256,T265,A0059,2022-03-23,,1205.0,3615.0,active
C0257,T085,A0090,2018-03-22,2020-05-27,630.0,1890.0,terminated
C0258,T056,A0043,2018-03-09,2026-05-10,990.0,2970.0,active
C0259,T206,A0278,2025-06-17,2029-01-27,1135.0,3405.0,active
C0260,T124,A0115,2015-11-18,,1060.0,3180.0,active
C0261,T086,A0103,2020-06-20,,845.0,2535.0,active
C0262,T067,A0152,2021-12-31,,1110.0,3330.0,active
C0263,T050,A0141,2015-08-22,,1335.0,4005.0,active
C0264,T006,A0015,2019-05-06,2020-10-01,1275.0,3825.0,terminated
C0265,T158,A0018,2017-10-02,2022-09-03,490.0,1470.0,terminated
C0266,T122,A0295,2015-05-05,2019-03-02,280.0,840.0,terminated
C0267,T040,A0188,2024-07-22,2026-12-31,1495.0,4485.0,terminated
C0268,T321,A0186,2019-05-11,2023-12-16,745.0,2235.0,terminated
C0269,T117,A0027,2025-04-16,,1435.0,4305.0,active
C0270,T307,A0132,2020-05-07,2022-06-12,400.0,1200.0,terminated
C0271,T255,A0067,2027-05-08,,815.0,2445.0,planned
C0272,T017,A0262,2019-10-28,,680.0,2040.0,active
C0273,T125,A0212,2025-12-24,2026-12-31,390.0,1170.0,terminated
C0274,T301,A0224,2023-03-31,2025-05-27,1150.0,3450.0,terminated
C0275,T237,A0092,2024-12-02,2026-11-04,1045.0,3135.0,terminated
C0276,T145,A0003,2015-01-19,2018-04-27,595.0,1785.0,terminated
C0277,T272,A0215,2019-10-30,2024-10-01,1720.0,5160.0,terminated
C0278,T342,A0289,2015-07-25,,465.0,1395.0,active
C0279,T198,A0084,2023-06-01,2026-12-31,855.0,2565.0,terminated
C0280,T298,A0230,2027-12-09,,560.0,1680.0,planned
C0281,T041,A0060,2018-09-02,2026-08-31,1140.0,3420.0,active
C0282,T342,A0219,2027-12-15,,1515.0,4545.0,planned
C0283,T143,A0127,2025-08-11,2026-04-23,1345.0,4035.0,terminated
C0284,T156,A0184,2022-05-03,,545.0,1635.0,active
C0285,T163,A0185,2021-03-08,,405.0,1215.0,active
C0286,T095,A0075,2024-06-16,2027-11-28,1125.0,3375.0,active
C0287,T305,A0074,2020-09-08,2022-07-02,795.0,2385.0,terminated
C0288,T079,A0004,2020-09-01,2026-09-15,760.0,2280.0,active
C0289,T124,A0149,2025-09-18,2026-12-31,1800.0,5400.0,terminated
C0290,T348,A0029,2022-05-04,2026-07-12,875.0,2625.0,active
C0291,T302,A0147,2023-08-12,,615.0,1845.0,active
C0292,T333,A0197,2019-09-25,2020-07-30,565.0,1695.0,terminated
C0293,T287,A0192,2027-09-26,,995.0,2985.0,planned
C0294,T029,A0017,2022-08-18,2026-12-31,390.0,1170.0,terminated
C0295,T253,A0212,2022-10-15,,515.0,1545.0,active
C0296,T296,A0181,2023-07-08,2026-10-21,485.0,1455.0,active
C0297,T025,A0163,2027-03-03,,1365.0,4095.0,planned
C0298,T076,A0257,2021-03-25,2026-06-21,970.0,2910.0,active
C0299,T034,A0179,2017-03-13,2026-08-19,805.0,2415.0,active
C0300,T230,A0136,2022-11-26,2026-04-26,1655.0,4965.0,terminated
C0301,T147,A0002,2025-11-10,2028-06-27,1785.0,5355.0,active
C0302,T303,A0141,2022-12-28,,1260.0,3780.0,active
C0303,T307,A0300,2019-01-01,2026-05-23,1445.0,4335.0,active
C0304,T016,A0284,2024-04-29,2024-11-05,1655.0,4965.0,terminated
C0305,T266,A0187,2023-05-02,2026-05-27,1025.0,3075.0,active
C0306,T246,A0018,2015-02-11,,445.0,1335.0,active
C0307,T240,A0279,2015-07-08,2016-08-27,625.0,1875.0,terminated
C0308,T262,A0065,2019-10-10,,1595.0,4785.0,active
C0309,T348,A0169,2019-10-25,,1035.0,3105.0,active
C0310,T119,A0098,2024-06-09,2028-10-16,1445.0,4335.0,active
C0311,T030,A0029,2023-03-27,2026-12-31,510.0,1530.0,terminated
C0312,T181,A0004,2025-11-15,,685.0,2055.0,active
C0313,T055,A0160,2015-03-19,,1885.0,5655.0,active
C0314,T171,A0100,2025-08-22,2026-12-31,630.0,1890.0,terminated
C0315,T177,A0201,2018-02-21,,1255.0,3765.0,active
C0316,T221,A0179,2018-05-12,,945.0,2835.0,active
C0317,T214,A0226,2018-02-20,2019-03-30,925.0,2775.0,terminated
C0318,T263,A0120,2020-01-03,,395.0,1185.0,active
C0319,T107,A0102,2019-05-02,2026-07-01,595.0,1785.0,active
C0320,T112,A0064,2024-02-23,,1090.0,3270.0,active
C0321,T136,A0084,2019-02-08,,730.0,2190.0,active
C0322,T103,A0095,2018-09-02,,500.0,1500.0,active
C0323,T319,A0126,2020-01-04,,940.0,2820.0,active
C0324,T027,A0288,2022-11-04,,1055.0,3165.0,active
C0325,T310,A0219,2016-06-17,2026-06-25,1135.0,3405.0,active
C0326,T162,A0105,2016-05-10,,1460.0,4380.0,active
C0327,T100,A0125,2015-03-05,2026-07-29,1840.0,5520.0,active
C0328,T084,A0119,2025-08-22,2029-06-02,900.0,2700.0,active
C0329,T307,A0216,2019-01-19,,1285.0,3855.0,active
C0330,T325,A0064,2018-12-06,2026-02-19,1885.0,5655.0,active
C0331,T308,A0125,2016-06-25,,1585.0,4755.0,active
C0332,T138,A0201,2024-05-15,2026-12-31,1395.0,4185.0,terminated
C0333,T039,A0003,2016-08-23,2018-04-25,855.0,2565.0,terminated
C0334,T338,A0138,2015-05-08,2017-01-18,695.0,2085.0,terminated
C0335,T256,A0285,2022-08-11,2026-12-17,790.0,2370.0,active
C0336,T043,A0156,2016-09-25,,1245.0,3735.0,active
C0337,T189,A0098,2027-06-14,,1080.0,3240.0,planned
C0338,T174,A0283,2017-01-08,2021-05-19,950.0,2850.0,terminated
C0339,T201,A0116,2018-02-09,2022-11-20,1100.0,3300.0,terminated
C0340,T293,A0030,2027-11-27,,695.0,2085.0,planned
C0341,T014,A0199,2018-12-29,,1180.0,3540.0,active
C0342,T293,A0123,2027-12-29,,1325.0,3975.0,planned
C0343,T028,A0219,2016-04-20,2018-08-27,1715.0,5145.0,terminated
C0344,T147,A0198,2018-07-22,2026-10-03,980.0,2940.0,active
C0345,T038,A0266,2016-05-14,,420.0,1260.0,active
C0346,T248,A0157,2022-02-24,,1045.0,3135.0,active
C0347,T122,A0071,2023-05-05,2026-09-15,1605.0,4815.0,active
C0348,T243,A0086,2018-11-16,2026-02-27,985.0,2955.0,active
C0349,T050,A0238,2019-09-17,2026-07-23,1400.0,4200.0,active
C0350,T146,A0199,2024-10-31,2026-11-20,1110.0,3330.0,active
C0351,T126,A0203,2024-06-19,2026-07-09,795.0,2385.0,terminated
C0352,T061,A0247,2017-03-10,,525.0,1575.0,active
C0353,T352,A0085,2018-06-21,2021-04-22,450.0,1350.0,terminated
C0354,T120,A0057,2021-07-12,2026-12-30,1735.0,5205.0,active
C0355,T340,A0051,2022-04-28,,1030.0,3090.0,active
C0356,T057,A0024,2023-12-29,2024-09-23,825.0,2475.0,terminated
C0357,T267,A0173,2017-07-06,,750.0,2250.0,active
C0358,T336,A0037,2022-01-30,2026-07-15,1595.0,4785.0,active
C0359,T170,A0097,2027-10-31,,1660.0,4980.0,planned
C0360,T005,A0189,2015-09-08,2016-09-27,605.0,1815.0,terminated
C0361,T005,A0264,2023-10-17,2024-05-13,980.0,2940.0,terminated
C0362,T320,A0063,2025-11-28,2026-12-31,425.0,1275.0,terminated
C0363,T073,A0209,2024-10-25,2025-06-26,1240.0,3720.0,terminated
C0364,T044,A0284,2023-08-26,2027-10-04,1015.0,3045.0,active
C0365,T038,A0280,2021-04-11,2022-02-13,735.0,2205.0,terminated
C0366,T010,A0299,2015-08-10,2026-03-29,1095.0,3285.0,active
C0367,T269,A0237,2022-04-20,2026-09-06,1630.0,4890.0,active
C0368,T347,A0064,2019-10-11,,1160.0,3480.0,active
C0369,T316,A0012,2017-12-15,2026-10-06,560.0,1680.0,active
C0370,T017,A0074,2020-01-17,2023-08-30,1165.0,3495.0,terminated
C0371,T057,A0281,2016-01-14,2026-08-26,1710.0,5130.0,active
C0372,T021,A0047,2020-05-15,2024-04-26,1280.0,3840.0,terminated
C0373,T166,A0210,2020-09-06,2023-06-30,1280.0,3840.0,terminated
C0374,T224,A0238,2022-05-24,2026-12-26,1310.0,3930.0,active
C0375,T221,A0241,2018-02-16,2026-11-15,825.0,2475.0,active
C0376,T002,A0053,2016-01-21,,815.0,2445.0,active
C0377,T041,A0226,2015-12-17,2017-04-15,625.0,1875.0,terminated
C0378,T029,A0120,2022-10-23,2026-09-11,450.0,1350.0,terminated
C0379,T038,A0295,2024-02-04,2026-10-21,455.0,1365.0,active
C0380,T266,A0223,2023-05-21,2026-07-06,1360.0,4080.0,active
C0381,T076,A0138,2017-08-23,2021-01-27,605.0,1815.0,terminated
C0382,T207,A0046,2016-06-14,2026-07-21,1195.0,3585.0,active
C0383,T067,A0173,2023-05-22,2027-11-27,475.0,1425.0,active
C0384,T183,A0163,2023-08-20,2025-04-18,1345.0,4035.0,terminated
C0385,T292,A0157,2016-10-06,2026-10-13,685.0,2055.0,active
C0386,T167,A0001,2019-09-01,2021-07-09,1215.0,3645.0,terminated
C0387,T148,A0176,2023-03-12,2026-03-22,1385.0,4155.0,active
C0388,T237,A0187,2025-06-13,2027-03-05,915.0,2745.0,active
C0389,T172,A0259,2023-09-02,2024-10-16,1195.0,3585.0,terminated
C0390,T233,A0157,2016-06-28,,1050.0,3150.0,active
C0391,T126,A0101,2027-07-23,,240.0,720.0,planned
C0392,T184,A0122,2018-01-31,2026-08-12,1240.0,3720.0,active
C0393,T035,A0275,2021-03-03,2027-01-02,1845.0,5535.0,active
C0394,T249,A0269,2015-10-23,2017-05-22,505.0,1515.0,terminated
C0395,T003,A0257,2018-11-03,2026-08-01,1070.0,3210.0,active
C0396,T193,A0111,2025-12-26,,995.0,2985.0,active
C0397,T143,A0134,2018-11-14,,350.0,1050.0,active
C0398,T205,A0261,2019-07-20,2020-08-02,965.0,2895.0,terminated
